ranked_id	hap	fit	model
H334	00110101100101000000	0.7271669336019986	nk
H335	11010100001011011111	0.7269877215640929	nk
H336	11011101101001001100	0.726819325637774	nk
H337	00110001010101111000	0.7266409943490215	nk
H338	11011100101000011100	0.7264554489003053	nk
H339	00011100101001010011	0.726268230662444	nk
H340	01011100001101010000	0.7260725251469922	nk
H341	11010100101111001101	0.7258783555533498	nk
H342	01110010000101111101	0.7256864008025418	nk
H343	01110000001001111111	0.7255317529168003	nk
H344	00111010001001101101	0.7253471137909334	nk
H345	11010100100101010111	0.7252008816891339	nk
H346	00011100100001111101	0.725007348463926	nk
H347	10110101000101111110	0.7248177729633627	nk
H348	01110001001111101000	0.7246474086509196	nk
H349	10110001000101000001	0.7244682987636416	nk
H350	01111011000001000100	0.7242661983398706	nk
H351	11110011000100011100	0.724102193846905	nk
H352	00000000110111011100	0.7239215395815818	nk
H353	00000001100001001000	0.7237849627291255	nk
H354	10110001100101111111	0.723555350987334	nk
H355	01111001101001110001	0.7233834618308912	nk
H356	01110001001011101101	0.7231904677122029	nk
H357	10000100101000011100	0.7230148559245125	nk
H358	01110001001011101000	0.7228309245679166	nk
H359	00110010011101011001	0.7226668950680618	nk
H360	10101001010101001101	0.7224969977752728	nk
H361	00110100010001001011	0.7223284105341969	nk
H362	00110001110101101001	0.722172932743258	nk
H363	00110100110001101110	0.721997138195545	nk
H364	00110100101000001010	0.7218174420157933	nk
H365	11111100100001111111	0.7216448349657305	nk
H366	00100000110101010001	0.721464819319729	nk
H367	01010100100001101011	0.7213112767370178	nk
H368	11011010001101001100	0.7211824164119326	nk
H369	10110100000111111111	0.7209958793647998	nk
H370	10101001001100011100	0.7208352098585552	nk
H371	00111001001010011100	0.7206512576777574	nk
H372	01111001100000011001	0.7204839430748772	nk
H373	11110011101000010101	0.7203085314764857	nk
H374	11011000101111010001	0.7201521257134441	nk
H375	00111000011101010101	0.7199933957734339	nk
H376	01100001010001010000	0.7198508440695077	nk
H377	01010101101011011100	0.7196805484102954	nk
H378	00110011000100000001	0.7195388603370081	nk
H379	00110000000100001010	0.719386953557693	nk
H380	01110010001111011100	0.7192171889217583	nk
H381	01011101100101011000	0.7190390558535116	nk
H382	01111000001111111001	0.7188602981627066	nk
H383	01011001100001110001	0.7187095010280294	nk
H384	00111010101001010000	0.7185190578481914	nk
H385	01111100001001001011	0.7183696079464447	nk
H386	00000000001111011000	0.7182092542485541	nk
H387	00010011100001000101	0.7180625170864033	nk
H388	00011101100101010000	0.7179073331507463	nk
H389	00111010000000101000	0.717723867921954	nk
H390	11111101000001100111	0.7175459534010394	nk
H391	01011010000100011100	0.717357385179449	nk
H392	11010001101001000000	0.7171766866734017	nk
H393	00000001001000011100	0.7169981021457482	nk
H394	01010001110101001000	0.7168618610369635	nk
H395	00010100001111001100	0.7167010745092202	nk
H396	00110001000111111011	0.7165266616142743	nk
H397	00010011001001010000	0.7163482349230053	nk
H398	01011000110011011001	0.7162043319110001	nk
H399	11100000011100010101	0.7160216285487325	nk
H400	01100000101101000100	0.7158539427452445	nk
H401	10011011000100011100	0.7156855264876562	nk
H402	01111100000111000100	0.7155321075350723	nk
H403	00110001000011110100	0.7153628819426239	nk
H404	00010011101110011100	0.7152297616538487	nk
H405	01110000110100010001	0.7150667247206889	nk
H406	01010000100001111010	0.7149026649139835	nk
H407	10110101001011100111	0.7147461503296074	nk
H408	00111101000001100010	0.7145617566696177	nk
H409	10110001111001111101	0.7144129275530192	nk
H410	00111101010001011001	0.7142286748609747	nk
H411	00111000100011111010	0.714079696526685	nk
H412	00110100001000001011	0.7139301672184367	nk
H413	00110000011011010000	0.7137748635115637	nk
H414	10011100000000001100	0.7136038516940638	nk
H415	00111110001001001001	0.7134772784161095	nk
H416	00011001100001110001	0.7133365223857263	nk
H417	01111011000101011101	0.7131708431427533	nk
H418	01110110100001010000	0.7130179990361162	nk
H419	10110001110001000100	0.7128503417265123	nk
H420	00011011101111011000	0.7127413937689379	nk
H421	00110000101011110101	0.7126037034186835	nk
H422	01111000011101010100	0.7124513947950799	nk
H423	11010101001001111111	0.7123041335288476	nk
H424	00101001100100001000	0.7121402495582211	nk
H425	00110001110101111000	0.7120025129414517	nk
H426	01000000101100011100	0.7118303776877682	nk
H427	11110000001011110111	0.7116948398481425	nk
H428	11110101001011001110	0.7115548981971309	nk
H429	01110001100101110010	0.7113828170482247	nk
H430	01010001000010011101	0.7112204771111578	nk
H431	01011010001000010000	0.7110678576823789	nk
H432	10100000000101010101	0.7109307657734661	nk
H433	00010100100110011001	0.7107777215269406	nk
H434	01110100100101111000	0.7106303465058165	nk
H435	11010000101001110110	0.7104558399274349	nk
H436	11110100000000101111	0.710296744036913	nk
H437	00110101100011010100	0.7101420127869401	nk
H438	00100001010011001000	0.7099838932166689	nk
H439	01110010010101001101	0.7098340628132875	nk
H440	00011001111101001001	0.7096684747677758	nk
H441	00111010101010001000	0.7095311542542583	nk
H442	01011000100101100001	0.7093857120558981	nk
H443	10011010101100000100	0.7092209185680055	nk
H444	00000000000001010100	0.709061302815858	nk
H445	01111001000010001000	0.7088897912044537	nk
H446	11110000001111001110	0.7087374770226225	nk
H447	00111001000001111110	0.7085694918970139	nk
H448	00100001101100011001	0.7084222321818316	nk
H449	00110101100011101000	0.708283152577909	nk
H450	10011100101100001100	0.7081663075583936	nk
H451	10010000001101111000	0.7080108192724365	nk
H452	11010011100101001100	0.7078553728631409	nk
H453	01111001101001100000	0.7077239223913836	nk
H454	00000000001000001000	0.7075811317372646	nk
H455	00110001011001111001	0.7074268567047989	nk
H456	00110000010110001101	0.7072828187990492	nk
H457	01110010000110010101	0.7071163708456529	nk
H458	00010011100100010101	0.7069708719275009	nk
H459	00100001011001011100	0.7068313156894401	nk
H460	00011100100011111110	0.7066928558442243	nk
H461	10110011100110011100	0.7065825773448849	nk
H462	00011100001100011000	0.706456752113467	nk
H463	10110101100111011100	0.7063233758125194	nk
H464	00110010100010101100	0.7061791579936966	nk
H465	10100001001100101100	0.7060243544255382	nk
H466	11001000101001010100	0.7058754424199779	nk
